rank,name,rating,votes,year,country,genre
201,贫民窟的百万富翁,8.6,786736,2008,['英国'],"['剧情', '爱情']"
202,东邪西毒,8.6,614333,1994,"['中国香港', '中国台湾']","['剧情', '动作', '爱情', '武侠', '古装']"
203,你看起来好像很好吃,8.9,359307,2010,['日本'],"['剧情', '动画', '儿童']"
204,源代码,8.6,892935,2011,"['美国', '加拿大']","['科幻', '悬疑', '惊悚']"
205,疯狂的麦克斯4：狂暴之路,8.7,593195,2015,"['澳大利亚', '美国']","['动作', '科幻', '冒险']"
206,可可西里,8.9,330375,2004,"['中国大陆', '中国香港']","['剧情', '犯罪']"
207,爆裂鼓手,8.6,658775,2014,['美国'],"['剧情', '音乐']"
208,城市之光,9.3,162723,1931,['美国'],"['喜剧', '剧情', '爱情']"
209,芙蓉镇,9.3,170677,1987,['中国大陆'],"['剧情', '爱情']"
210,波西米亚狂想曲,8.6,661832,2018,"['英国', '美国']","['剧情', '传记', '同性', '音乐']"
211,黑天鹅,8.6,821918,2010,['美国'],"['剧情', '惊悚']"
212,花束般的恋爱,8.6,754996,2021,['日本'],"['剧情', '爱情']"
213,青蛇,8.6,569121,1993,"['中国香港', '中国大陆']","['剧情', '爱情', '奇幻', '古装']"
214,爱乐之城,8.4,1038468,2016,['美国'],"['剧情', '爱情', '歌舞']"
215,终结者2：审判日,8.8,367647,1991,"['美国', '法国']","['动作', '科幻']"
216,初恋这件小事,8.5,1026516,2010,['泰国'],"['剧情', '喜剧', '爱情']"
217,哈利·波特与死亡圣器(上),8.6,657932,2010,"['英国', '美国']","['奇幻', '冒险']"
218,雨人,8.7,429882,1988,['美国'],['剧情']
219,白日梦想家,8.6,590350,2013,"['美国', '英国']","['剧情', '喜剧', '冒险']"
220,人工智能,8.7,482052,2001,"['美国', '英国']","['剧情', '科幻']"
221,真爱至上,8.5,784149,2003,"['英国', '美国', '法国']","['喜剧', '剧情', '爱情']"
222,新龙门客栈,8.7,484501,1992,"['中国香港', '中国大陆']","['动作', '爱情', '武侠', '古装']"
223,无耻混蛋,8.7,526419,2009,"['德国', '美国']","['剧情', '犯罪']"
224,虎口脱险,8.9,281652,1966,"['法国', '英国']","['喜剧', '战争']"
225,崖上的波妞,8.6,546939,2008,['日本'],"['动画', '奇幻', '冒险']"
226,恋恋笔记本,8.5,722642,2004,['美国'],"['剧情', '爱情']"
227,罗生门,8.8,342457,1950,['日本'],"['剧情', '犯罪', '悬疑']"
228,千钧一发,8.8,330311,1997,['美国'],"['剧情', '科幻', '惊悚']"
