rank,name,rating,votes,year,country,genre
190,岁月神偷,8.7,598560,2010,"['中国香港', '中国大陆']","['剧情', '家庭']"
191,末路狂花,9.0,307937,1991,"['美国', '英国', '法国']","['犯罪', '剧情', '惊悚']"
192,冰川时代,8.6,658784,2002,['美国'],"['喜剧', '动画', '冒险']"
193,牯岭街少年杀人事件,8.9,340841,1991,['中国台湾'],"['剧情', '犯罪']"
194,恐怖游轮,8.5,940732,2009,"['英国', '澳大利亚']","['剧情', '悬疑', '惊悚']"
195,忠犬八公物语,9.2,209802,1987,['日本'],['剧情']
196,东京教父,9.0,267604,2003,['日本'],"['剧情', '喜剧', '动画']"
197,荒蛮故事,8.8,475043,2014,"['阿根廷', '西班牙']","['剧情', '喜剧', '犯罪']"
198,爆裂鼓手,8.6,654655,2014,['美国'],"['剧情', '音乐']"
199,魔女宅急便,8.7,499054,1989,['日本'],"['动画', '奇幻', '冒险']"
200,大佛普拉斯,8.7,519378,2017,['中国台湾'],"['剧情', '喜剧']"
201,高山下的花环,9.5,130652,1985,['中国大陆'],"['剧情', '战争']"
202,遗愿清单,8.7,506959,2007,['美国'],"['冒险', '喜剧', '剧情']"
203,贫民窟的百万富翁,8.6,784185,2008,['英国'],"['剧情', '爱情']"
204,东邪西毒,8.6,611288,1994,"['中国香港', '中国台湾']","['剧情', '动作', '爱情', '武侠', '古装']"
205,你看起来好像很好吃,8.9,357389,2010,['日本'],"['剧情', '动画', '儿童']"
206,源代码,8.5,889060,2011,"['美国', '加拿大']","['科幻', '悬疑', '惊悚']"
207,疯狂的麦克斯4：狂暴之路,8.7,589952,2015,"['澳大利亚', '美国']","['动作', '科幻', '冒险']"
208,可可西里,8.9,328832,2004,"['中国大陆', '中国香港']","['剧情', '犯罪']"
209,海边的曼彻斯特,8.6,611400,2016,['美国'],"['剧情', '家庭']"
210,城市之光,9.3,161711,1931,['美国'],"['喜剧', '剧情', '爱情']"
211,波西米亚狂想曲,8.6,658679,2018,"['英国', '美国']","['剧情', '传记', '同性', '音乐']"
212,芙蓉镇,9.3,168530,1987,['中国大陆'],"['剧情', '爱情']"
213,黑天鹅,8.6,819533,2010,['美国'],"['剧情', '惊悚']"
214,爱乐之城,8.4,1032008,2016,['美国'],"['剧情', '爱情', '歌舞']"
215,花束般的恋爱,8.6,746594,2021,['日本'],"['剧情', '爱情']"
216,青蛇,8.6,565413,1993,"['中国香港', '中国大陆']","['剧情', '爱情', '奇幻', '古装']"
217,初恋这件小事,8.5,1023307,2010,['泰国'],"['剧情', '喜剧', '爱情']"
218,终结者2：审判日,8.8,365901,1991,"['美国', '法国']","['动作', '科幻']"
219,雨人,8.7,428558,1988,['美国'],['剧情']
220,哈利·波特与死亡圣器(上),8.6,652410,2010,"['英国', '美国']","['奇幻', '冒险']"
221,真爱至上,8.5,781606,2003,"['英国', '美国', '法国']","['喜剧', '剧情', '爱情']"
222,人工智能,8.7,479916,2001,"['美国', '英国']","['剧情', '科幻']"
223,白日梦想家,8.6,583873,2013,"['美国', '英国']","['剧情', '喜剧', '冒险']"
224,无耻混蛋,8.7,523545,2009,"['德国', '美国']","['剧情', '犯罪']"
225,虎口脱险,8.9,280021,1966,"['法国', '英国']","['喜剧', '战争']"
226,新龙门客栈,8.7,480829,1992,"['中国香港', '中国大陆']","['动作', '爱情', '武侠', '古装']"
227,恋恋笔记本,8.5,719873,2004,['美国'],"['剧情', '爱情']"
228,崖上的波妞,8.6,543799,2008,['日本'],"['动画', '奇幻', '冒险']"
229,罗生门,8.8,340882,1950,['日本'],"['剧情', '犯罪', '悬疑']"
230,千钧一发,8.8,328733,1997,['美国'],"['剧情', '科幻', '惊悚']"
231,彗星来的那一夜,8.6,643487,2013,"['美国', '英国']","['科幻', '悬疑', '惊悚']"
232,里斯本丸沉没,9.3,149054,2023,['中国大陆'],['纪录片']
233,大红灯笼高高挂,8.8,333169,1991,"['中国大陆', '中国香港', '中国台湾']",['剧情']
234,哈利·波特与凤凰社,8.5,651000,2007,"['英国', '美国']","['奇幻', '冒险']"
235,黑客帝国2：重装上阵,8.7,435056,2003,['美国'],"['动作', '科幻']"
236,火星救援,8.5,792454,2015,"['英国', '美国', '匈牙利', '约旦']","['剧情', '科幻', '冒险']"
237,萤火虫之墓,8.7,425619,1988,['日本'],"['动画', '剧情', '战争']"
238,奇迹男孩,8.6,581317,2017,"['美国', '中国香港']","['剧情', '儿童', '家庭']"
239,二十二,8.7,305859,2015,['中国大陆'],['纪录片']
240,战争之王,8.7,397409,2005,"['美国', '德国']","['剧情', '犯罪']"
241,步履不停,8.8,306040,2008,['日本'],"['剧情', '家庭']"
242,千年女优,8.8,299574,2001,['日本'],"['动画', '剧情', '爱情']"
243,血钻,8.7,406132,2006,"['美国', '德国', '英国']","['剧情', '惊悚', '冒险']"
244,谍影重重2,8.7,379710,2004,"['美国', '德国']","['动作', '悬疑', '惊悚']"
245,房间,8.8,388393,2015,"['爱尔兰', '加拿大', '英国', '美国']","['剧情', '家庭']"
246,魂断蓝桥,8.8,298176,1940,['美国'],"['剧情', '爱情', '战争']"
247,蜘蛛侠：平行宇宙,8.6,721757,2018,['美国'],"['动作', '科幻', '动画', '冒险']"
248,弱点,8.7,339672,2009,['美国'],"['剧情', '家庭', '传记', '运动']"
249,谍影重重,8.6,462345,2002,"['美国', '德国', '捷克']","['动作', '悬疑', '惊悚']"
250,隐藏人物,8.9,248574,2016,['美国'],"['剧情', '传记', '历史']"
